fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240503 155155	1065	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	397	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.433946213580537	0.601942873467719	1174	1263	13820	56257241.3793103	1
20240503 155337	1065	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.699032955992322	0.768970050527894	1002	182	17504	40571118.4407796	2
20240503 155704	1065	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	446	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.372786853025968	0.659344180567095	1502	902	12754	57247325.3373313	3
20240503 160138	1065	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	695	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.557543001896456	0.827963346229255	243	1335	13056	51870020.9895052	4
20240503 160517	1065	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	295	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.146489618205341	0.643518164399261	407	608	11514	57325646.1769115	5
20240503 160752	1065	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.721664172158174	0.590759406187096	662	1693	12078	49304830.5847076	6
20240503 161055	1065	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	476	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.613959555566506	0.737968807806613	1370	1467	12586	47597022.4887556	7
20240503 161250	1065	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	108	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.177798768448619	0.850703344388468	602	1839	12601	59664586.2068966	8
20240503 161510	1065	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.789147040189438	0.538048656328842	1055	795	14627	45355641.6791604	9
20240503 161747	1065	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	60	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0772198539437911	0.813609707665355	375	394	10823	60287341.8290855	10
20240503 162125	1065	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	95	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.283563478202694	0.516861363216807	1554	230	13455	55289212.8935532	11
20240503 163002	1065	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1237	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0102494564822728	0.781712917901177	1672	1009	10320	62269145.4272864	12
20240503 163451	1065	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	301	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.539961454084867	0.887317717107265	2025	1063	14179	53249866.5667166	13
20240503 163630	1065	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	91	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.22061834087665	0.69066811991133	102	1555	14030	58585382.3088456	14
20240503 163859	1065	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	39	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.353963040111688	0.552823916941968	1814	1990	10871	55586160.4197901	15
