fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240503 173811	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2553	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100530575042428	0.656140192957945	818	1271	11575	61416589.2053973	24
20240503 175253	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2739	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100198954752905	0.518055877222355	2046	1723	10822	62142935.5322339	25
20240503 175853	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1355	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100022093325713	0.807010484055404	938	1733	10436	63323424.2878561	26
20240503 180341	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	432	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.15013158736258	0.500028634362041	1198	1999	10189	56900946.0269865	27
20240503 181713	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9980	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100881000815889	0.899843236622899	16	1832	11657	61870799.1004498	28
20240503 181939	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	151	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.188346010320013	0.899810134737858	1015	100	12157	57518685.1574213	29
20240503 183454	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4737	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100056826062006	0.899692672953538	989	1874	11676	61320065.9670165	30
20240503 184849	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4150	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100098298607229	0.779706285149134	595	1689	12526	61041550.2248876	31
20240503 190006	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3198	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100375693264123	0.688047899784139	1306	1657	11631	61805170.9145427	32
20240503 190844	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2271	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100012878816769	0.737078416801236	2044	1663	10782	62291901.0494753	33
20240503 191946	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3035	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100304811171616	0.609450512949962	1936	1588	10556	62121205.3973013	34
20240503 192802	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2166	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0101226444683492	0.641617160235242	987	1680	10637	62319944.5277361	35
20240503 193813	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2838	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100570741009086	0.742306735081647	1628	1678	10759	62189446.7766117	36
20240503 194801	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2706	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0101105006797777	0.804099655100299	636	1692	10450	61791829.0854573	37
20240503 200137	877	301207	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2843	1	1	1	FALSE	1	0.1	50	0.5	FALSE	442367	0.0100019206929935	0.560890721926339	1669	1555	10079	61627767.6161919	38
